panel,n,m,seed,generator,generator_alpha,generator_sigma,prefilter_relative_gap
square,15,15,9,correlated-top,3.0,0.1,0.01
square,15,15,10,correlated-top,3.0,0.1,0.01
square,20,20,0,correlated-top,3.0,0.1,0.01
square,20,20,1,correlated-top,3.0,0.1,0.01
square,20,20,2,correlated-top,3.0,0.1,0.01
square,20,20,3,correlated-top,3.0,0.1,0.01
square,20,20,4,correlated-top,3.0,0.1,0.01
square,20,20,5,correlated-top,3.0,0.1,0.01
square,20,20,6,correlated-top,3.0,0.1,0.01
square,20,20,7,correlated-top,3.0,0.1,0.01
square,20,20,8,correlated-top,3.0,0.1,0.01
square,20,20,9,correlated-top,3.0,0.1,0.01
rectangular,4,8,0,correlated-top,3.0,0.1,0.01
rectangular,4,8,1,correlated-top,3.0,0.1,0.01
rectangular,4,8,2,correlated-top,3.0,0.1,0.01
rectangular,4,8,3,correlated-top,3.0,0.1,0.01
rectangular,4,8,4,correlated-top,3.0,0.1,0.01
rectangular,4,8,5,correlated-top,3.0,0.1,0.01
rectangular,4,8,6,correlated-top,3.0,0.1,0.01
rectangular,4,8,7,correlated-top,3.0,0.1,0.01
rectangular,4,8,8,correlated-top,3.0,0.1,0.01
rectangular,4,8,9,correlated-top,3.0,0.1,0.01
rectangular,8,12,0,correlated-top,3.0,0.1,0.01
rectangular,8,12,1,correlated-top,3.0,0.1,0.01
rectangular,8,12,2,correlated-top,3.0,0.1,0.01
rectangular,8,12,3,correlated-top,3.0,0.1,0.01
rectangular,8,12,4,correlated-top,3.0,0.1,0.01
rectangular,8,12,5,correlated-top,3.0,0.1,0.01
rectangular,8,12,6,correlated-top,3.0,0.1,0.01
rectangular,8,12,7,correlated-top,3.0,0.1,0.01
rectangular,8,12,8,correlated-top,3.0,0.1,0.01
rectangular,8,12,9,correlated-top,3.0,0.1,0.01
rectangular,10,20,0,correlated-top,3.0,0.1,0.01
rectangular,10,20,1,correlated-top,3.0,0.1,0.01
rectangular,10,20,2,correlated-top,3.0,0.1,0.01
rectangular,10,20,3,correlated-top,3.0,0.1,0.01
rectangular,10,20,4,correlated-top,3.0,0.1,0.01
rectangular,10,20,5,correlated-top,3.0,0.1,0.01
rectangular,10,20,6,correlated-top,3.0,0.1,0.01
rectangular,10,20,7,correlated-top,3.0,0.1,0.01
rectangular,10,20,8,correlated-top,3.0,0.1,0.01
rectangular,10,20,9,correlated-top,3.0,0.1,0.01
rectangular,15,20,0,correlated-top,3.0,0.1,0.01
rectangular,15,20,1,correlated-top,3.0,0.1,0.01
rectangular,15,20,2,correlated-top,3.0,0.1,0.01
rectangular,15,20,3,correlated-top,3.0,0.1,0.01
rectangular,15,20,4,correlated-top,3.0,0.1,0.01
rectangular,15,20,5,correlated-top,3.0,0.1,0.01
rectangular,15,20,6,correlated-top,3.0,0.1,0.01
rectangular,15,20,7,correlated-top,3.0,0.1,0.01
rectangular,15,20,8,correlated-top,3.0,0.1,0.01
rectangular,15,20,9,correlated-top,3.0,0.1,0.01
rectangular,15,25,0,correlated-top,3.0,0.1,0.01
rectangular,15,25,1,correlated-top,3.0,0.1,0.01
rectangular,15,25,3,correlated-top,3.0,0.1,0.01
rectangular,15,25,4,correlated-top,3.0,0.1,0.01
rectangular,15,25,5,correlated-top,3.0,0.1,0.01
rectangular,15,25,6,correlated-top,3.0,0.1,0.01
rectangular,15,25,7,correlated-top,3.0,0.1,0.01
rectangular,15,25,8,correlated-top,3.0,0.1,0.01
rectangular,15,25,10,correlated-top,3.0,0.1,0.01
rectangular,15,25,11,correlated-top,3.0,0.1,0.01
